rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,category,review_date
5.0,,,[],0827229534,0827229534,A2JW67OY8U6HHK,964724400000,9,False,Books & Literature,2000-07-27 19:00:00
5.0,,,[],0827229534,0827229534,A2VE83MZF98ITY,1071342000000,5,False,Books & Literature,2003-12-13 19:00:00
5.0,,,[],0738700797,0738700797,A11NCO6YTE4BTJ,1008442800000,4,False,Books & Literature,2001-12-15 19:00:00
4.0,,,[],0738700797,0738700797,A9CQ3PLRNIR83,1010343600000,5,False,Books & Literature,2002-01-06 19:00:00
5.0,,,[],0738700797,0738700797,A13SG9ACZ9O5IM,1011812400000,8,False,Books & Literature,2002-01-23 19:00:00
5.0,,,[],0738700797,0738700797,A1BDAI6VEYMAZA,1012158000000,4,False,Books & Literature,2002-01-27 19:00:00
4.0,,,[],0738700797,0738700797,A2P6KAWXJ16234,1012935600000,16,False,Books & Literature,2002-02-05 19:00:00
4.0,,,[],0738700797,0738700797,AMACWC3M7PQFR,1013626800000,5,False,Books & Literature,2002-02-13 19:00:00
4.0,,,[],0738700797,0738700797,A3GO7UV9XX14D8,1016823600000,6,False,Books & Literature,2002-03-22 19:00:00
5.0,,,[],0738700797,0738700797,A1GIL64QK68WKL,1022094000000,8,False,Books & Literature,2002-05-22 19:00:00
5.0,,,[],0738700797,0738700797,AEOBOF2ONQJWV,1046113200000,5,False,Books & Literature,2003-02-24 19:00:00
5.0,,,[],0738700797,0738700797,A3IGHTES8ME05L,1069700400000,5,False,Books & Literature,2003-11-24 19:00:00
1.0,,,[],0738700797,0738700797,A1CP26N8RHYVVO,1076439600000,9,False,Books & Literature,2004-02-10 19:00:00
5.0,,,[],0738700797,0738700797,ANEIANH0WAT9D,1107716400000,1,False,Books & Literature,2005-02-06 19:00:00
5.0,,,[],0486287785,0486287785,A3IDGASRQAW8B2,1057777200000,2,False,Books & Literature,2003-07-09 19:00:00
4.0,,,[],0842328327,0842328327,A2591BUPXCS705,1092855600000,1,False,Books & Literature,2004-08-18 19:00:00
5.0,,,[],0486220125,0486220125,ATVPDKIKX0DER,867956400000,11,False,Books & Literature,1997-07-03 19:00:00
5.0,,,[],0486220125,0486220125,AUEZ7NVOEHYRY,908046000000,12,False,Books & Literature,1998-10-10 19:00:00
5.0,,,[],0486220125,0486220125,ATVPDKIKX0DER,924116400000,7,False,Books & Literature,1999-04-14 19:00:00
4.0,,,[],0486220125,0486220125,AJYG6ZJUQPZ9M,946926000000,10,False,Books & Literature,2000-01-03 19:00:00
5.0,,,[],0486220125,0486220125,A2ESGJTTLJWIAK,949950000000,11,False,Books & Literature,2000-02-07 19:00:00
5.0,,,[],0486220125,0486220125,A2CHULHAO3A9BY,956862000000,16,False,Books & Literature,2000-04-27 19:00:00
5.0,,,[],0486220125,0486220125,A3BNWP7ATVP045,1002567600000,6,False,Books & Literature,2001-10-08 19:00:00
2.0,,,[],0486220125,0486220125,AVOQ12GBXJ3F,1032980400000,0,False,Books & Literature,2002-09-25 19:00:00
